customer_segment,store_type,salesperson_role,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Churn Risk,Large Malls / Complexes,Sales Associate,Price Drop Parade,436865.85,156,2800.42,511.58,4971.13
Churn Risk,Large Malls / Complexes,Sales Associate,Red Tag Clearance,394071.03,150,2627.14,532.98,4949.27
Churn Risk,Large Malls / Complexes,Sales Associate,Seasonal Surprise Box,465210.19,173,2689.08,505.59,4952.87
Churn Risk,Large Malls / Complexes,Sales Associate,Shop & Save Spectacular,458433.52,168,2728.77,506.24,4999.91
Churn Risk,Large Malls / Complexes,Sales Associate,Smart Shopper Week,512666.89,187,2741.53,573.86,4957.00
Churn Risk,Large Malls / Complexes,Sales Associate,Spring Refresh Event,436886.57,166,2631.85,500.56,4998.26
Churn Risk,Large Malls / Complexes,Sales Associate,Spring Splash Discounts,407830.93,160,2548.94,535.63,4935.09
Churn Risk,Large Malls / Complexes,Sales Associate,Summer Sizzle Promo,395184.67,143,2763.53,536.25,4970.66
Churn Risk,Large Malls / Complexes,Sales Associate,Super Savings Week,435460.18,158,2756.08,508.37,4934.24
Churn Risk,Large Malls / Complexes,Sales Associate,Ultimate Value Event,513075.54,179,2866.34,531.19,4991.35
Churn Risk,Large Malls / Complexes,Sales Associate,VIP Access Sale,422121.30,164,2573.91,521.06,4953.93
Churn Risk,Large Malls / Complexes,Sales Associate,Weekend Warrior Specials,474564.54,170,2791.56,552.48,4995.92
Churn Risk,Large Malls / Complexes,Sales Associate,Winter Clearance Carnival,537873.60,190,2830.91,512.56,4997.18
Churn Risk,Large Malls / Complexes,Sales Associate,Winter Wonders Sale,443026.77,170,2606.04,532.26,4991.74
Churn Risk,Large Malls / Complexes,Salesperson,12 Days of Deals,405722.01,145,2798.08,675.24,4989.39
Churn Risk,Large Malls / Complexes,Salesperson,Autumn Deals Drive,489282.12,176,2780.01,539.24,4937.54
Churn Risk,Large Malls / Complexes,Salesperson,BOGO Blitz,410827.52,148,2775.86,507.32,4992.57
Churn Risk,Large Malls / Complexes,Salesperson,Back to School Boost,511732.11,184,2781.15,522.15,4901.04
Churn Risk,Large Malls / Complexes,Salesperson,Birthday Bash Sale,457504.93,168,2723.24,501.83,4957.03
Churn Risk,Large Malls / Complexes,Salesperson,Black Friday Blowout,438603.82,157,2793.65,527.89,4985.53
Churn Risk,Large Malls / Complexes,Salesperson,Cart Crasher Campaign,478806.14,166,2884.37,558.49,4978.14
Churn Risk,Large Malls / Complexes,Salesperson,Cashback Carnival,482333.07,174,2772.03,516.03,4976.60
Churn Risk,Large Malls / Complexes,Salesperson,Clearance Countdown,431231.77,151,2855.84,560.21,4989.20
Churn Risk,Large Malls / Complexes,Salesperson,Countdown to Savings,401821.33,147,2733.48,546.15,4932.05
Churn Risk,Large Malls / Complexes,Salesperson,Customer Appreciation Week,495516.85,172,2880.91,571.45,4990.07
Churn Risk,Large Malls / Complexes,Salesperson,Cyber Monday Mania,457636.72,163,2807.59,515.57,4948.17
Churn Risk,Large Malls / Complexes,Salesperson,Deal of the Month,417239.38,150,2781.60,503.83,4944.26
Churn Risk,Large Malls / Complexes,Salesperson,Double Points Bonanza,468726.14,174,2693.83,509.59,4996.21
Churn Risk,Large Malls / Complexes,Salesperson,Early Bird Specials,486734.56,173,2813.49,519.84,4991.60
Churn Risk,Large Malls / Complexes,Salesperson,End of Season Sale,403658.17,152,2655.65,504.36,4968.71
Churn Risk,Large Malls / Complexes,Salesperson,Exclusive Insider Offers,518917.10,176,2948.39,524.47,4970.64
Churn Risk,Large Malls / Complexes,Salesperson,Festive Fever Promo,447836.96,159,2816.58,526.44,4987.73
Churn Risk,Large Malls / Complexes,Salesperson,Final Call Frenzy,415786.93,157,2648.32,531.21,4977.61
Churn Risk,Large Malls / Complexes,Salesperson,Flash Frenzy Friday,442526.47,164,2698.33,553.19,4941.65
Churn Risk,Large Malls / Complexes,Salesperson,"Gift More, Spend Less",536715.04,181,2965.28,551.02,4949.95
Churn Risk,Large Malls / Complexes,Salesperson,Golden Hour Bargains,470775.43,177,2659.75,508.67,4949.27
Churn Risk,Large Malls / Complexes,Salesperson,Green Weekend Deals,524352.72,189,2774.35,516.92,4999.33
Churn Risk,Large Malls / Complexes,Salesperson,Happy Hour Discounts,461634.74,170,2715.50,561.71,4939.94
Churn Risk,Large Malls / Complexes,Salesperson,Holiday Shopping Rush,498708.67,183,2725.18,548.50,4968.05
Churn Risk,Large Malls / Complexes,Salesperson,Hot Picks Promo,418075.32,150,2787.17,525.87,4976.29
Churn Risk,Large Malls / Complexes,Salesperson,Instant Gratification Sale,395501.68,145,2727.60,521.93,4989.05
Churn Risk,Large Malls / Complexes,Salesperson,Limited Time Treasures,517458.05,181,2858.88,603.66,4986.97
Churn Risk,Large Malls / Complexes,Salesperson,Loyalty Rewards Blast,410678.02,153,2684.17,500.82,4990.36
Churn Risk,Large Malls / Complexes,Salesperson,Mega Weekend Bonanza,413272.56,151,2736.90,537.35,4939.14
Churn Risk,Large Malls / Complexes,Salesperson,Mid-Year Madness,496951.17,187,2657.49,504.33,4909.68
Churn Risk,Large Malls / Complexes,Salesperson,Midnight Madness,481005.97,180,2672.26,523.87,4974.49
Churn Risk,Large Malls / Complexes,Salesperson,Mystery Discount Days,384202.78,150,2561.35,523.06,4971.08
Churn Risk,Large Malls / Complexes,Salesperson,New Arrival Showcase,453011.16,161,2813.73,505.86,4976.27
Churn Risk,Large Malls / Complexes,Salesperson,New Product Launch Promo,489365.04,171,2861.78,538.83,4999.18
Churn Risk,Large Malls / Complexes,Salesperson,New Year Kickoff,472792.35,178,2656.14,537.10,4975.31
Churn Risk,Large Malls / Complexes,Salesperson,Price Drop Parade,469451.23,170,2761.48,576.81,4979.50
Churn Risk,Large Malls / Complexes,Salesperson,Red Tag Clearance,373123.21,144,2591.13,518.74,4974.52
Churn Risk,Large Malls / Complexes,Salesperson,Seasonal Surprise Box,424919.77,159,2672.45,503.27,4993.44
Churn Risk,Large Malls / Complexes,Salesperson,Shop & Save Spectacular,397293.60,154,2579.83,506.29,4966.99
Churn Risk,Large Malls / Complexes,Salesperson,Smart Shopper Week,434339.18,153,2838.82,597.59,4998.23
Churn Risk,Large Malls / Complexes,Salesperson,Spring Refresh Event,419682.83,146,2874.54,525.95,4982.80
Churn Risk,Large Malls / Complexes,Salesperson,Spring Splash Discounts,511753.41,182,2811.83,504.32,4982.39
Churn Risk,Large Malls / Complexes,Salesperson,Summer Sizzle Promo,466472.87,172,2712.05,515.39,4990.78
Churn Risk,Large Malls / Complexes,Salesperson,Super Savings Week,619669.98,207,2993.57,514.34,4992.52
Churn Risk,Large Malls / Complexes,Salesperson,Ultimate Value Event,386341.81,147,2628.18,543.34,4979.03
Churn Risk,Large Malls / Complexes,Salesperson,VIP Access Sale,425212.06,153,2779.16,514.66,4922.84
Churn Risk,Large Malls / Complexes,Salesperson,Weekend Warrior Specials,428434.27,150,2856.23,645.64,4987.65
Churn Risk,Large Malls / Complexes,Salesperson,Winter Clearance Carnival,416230.34,150,2774.87,538.37,4999.04
Churn Risk,Large Malls / Complexes,Salesperson,Winter Wonders Sale,435488.52,161,2704.90,516.98,4948.00
Churn Risk,Large Malls / Complexes,Senior Salesperson,12 Days of Deals,410509.15,150,2736.73,672.05,4965.80
Churn Risk,Large Malls / Complexes,Senior Salesperson,Autumn Deals Drive,394179.01,144,2737.35,501.93,4986.73
Churn Risk,Large Malls / Complexes,Senior Salesperson,BOGO Blitz,419010.26,150,2793.40,535.66,4971.93
Churn Risk,Large Malls / Complexes,Senior Salesperson,Back to School Boost,384700.59,153,2514.38,501.92,4991.85
Churn Risk,Large Malls / Complexes,Senior Salesperson,Birthday Bash Sale,414612.56,142,2919.81,576.54,4938.66
Churn Risk,Large Malls / Complexes,Senior Salesperson,Black Friday Blowout,363218.64,139,2613.08,525.85,4989.01
Churn Risk,Large Malls / Complexes,Senior Salesperson,Cart Crasher Campaign,341912.02,126,2713.59,540.89,4995.47
Churn Risk,Large Malls / Complexes,Senior Salesperson,Cashback Carnival,434130.67,147,2953.27,526.46,4962.54
Churn Risk,Large Malls / Complexes,Senior Salesperson,Clearance Countdown,380015.75,137,2773.84,662.05,4955.90
Churn Risk,Large Malls / Complexes,Senior Salesperson,Countdown to Savings,401395.82,150,2675.97,589.03,4974.44
Churn Risk,Large Malls / Complexes,Senior Salesperson,Customer Appreciation Week,394770.04,150,2631.80,506.65,4972.03
Churn Risk,Large Malls / Complexes,Senior Salesperson,Cyber Monday Mania,349800.37,128,2732.82,576.72,4996.08
Churn Risk,Large Malls / Complexes,Senior Salesperson,Deal of the Month,390938.97,143,2733.84,511.14,4999.41
Churn Risk,Large Malls / Complexes,Senior Salesperson,Double Points Bonanza,374086.92,140,2672.05,521.66,4973.00
Churn Risk,Large Malls / Complexes,Senior Salesperson,Early Bird Specials,380291.03,140,2716.36,523.14,4873.68
Churn Risk,Large Malls / Complexes,Senior Salesperson,End of Season Sale,451719.59,170,2657.17,509.35,4987.50
Churn Risk,Large Malls / Complexes,Senior Salesperson,Exclusive Insider Offers,427187.89,147,2906.04,556.06,4989.63
Churn Risk,Large Malls / Complexes,Senior Salesperson,Festive Fever Promo,404552.75,144,2809.39,506.83,4986.10
Churn Risk,Large Malls / Complexes,Senior Salesperson,Final Call Frenzy,431171.08,159,2711.77,542.51,4968.70
Churn Risk,Large Malls / Complexes,Senior Salesperson,Flash Frenzy Friday,381284.54,145,2629.55,531.26,4990.62
Churn Risk,Large Malls / Complexes,Senior Salesperson,"Gift More, Spend Less",397218.82,154,2579.34,507.44,4865.78
Churn Risk,Large Malls / Complexes,Senior Salesperson,Golden Hour Bargains,413866.56,152,2722.81,502.72,4984.06
Churn Risk,Large Malls / Complexes,Senior Salesperson,Green Weekend Deals,361012.81,133,2714.38,561.69,4982.78
Churn Risk,Large Malls / Complexes,Senior Salesperson,Happy Hour Discounts,396317.57,146,2714.50,523.28,4994.51
Churn Risk,Large Malls / Complexes,Senior Salesperson,Holiday Shopping Rush,395248.59,145,2725.85,553.58,4946.13
Churn Risk,Large Malls / Complexes,Senior Salesperson,Hot Picks Promo,467028.40,163,2865.20,537.00,4987.66
Churn Risk,Large Malls / Complexes,Senior Salesperson,Instant Gratification Sale,375540.60,145,2589.94,522.66,4978.07
Churn Risk,Large Malls / Complexes,Senior Salesperson,Limited Time Treasures,377670.28,133,2839.63,613.45,4907.64
Churn Risk,Large Malls / Complexes,Senior Salesperson,Loyalty Rewards Blast,378561.81,142,2665.93,513.35,4909.35
Churn Risk,Large Malls / Complexes,Senior Salesperson,Mega Weekend Bonanza,356465.37,127,2806.81,564.19,4952.32
Churn Risk,Large Malls / Complexes,Senior Salesperson,Mid-Year Madness,401951.21,149,2697.66,520.79,4977.02
Churn Risk,Large Malls / Complexes,Senior Salesperson,Midnight Madness,402390.27,146,2756.10,581.83,4994.43
Churn Risk,Large Malls / Complexes,Senior Salesperson,Mystery Discount Days,366310.83,136,2693.46,519.89,4830.80
Churn Risk,Large Malls / Complexes,Senior Salesperson,New Arrival Showcase,397774.90,146,2724.49,509.29,4990.73
Churn Risk,Large Malls / Complexes,Senior Salesperson,New Product Launch Promo,377969.56,135,2799.77,607.43,4988.61
Churn Risk,Large Malls / Complexes,Senior Salesperson,New Year Kickoff,377664.32,137,2756.67,518.77,4926.04
Churn Risk,Large Malls / Complexes,Senior Salesperson,Price Drop Parade,372616.58,133,2801.63,558.69,4947.89
Churn Risk,Large Malls / Complexes,Senior Salesperson,Red Tag Clearance,347112.15,126,2754.86,525.89,4988.53
Churn Risk,Large Malls / Complexes,Senior Salesperson,Seasonal Surprise Box,353592.63,129,2741.03,501.95,4973.70
Churn Risk,Large Malls / Complexes,Senior Salesperson,Shop & Save Spectacular,370299.75,137,2702.92,598.07,4984.81
Churn Risk,Large Malls / Complexes,Senior Salesperson,Smart Shopper Week,403034.64,148,2723.21,504.15,4999.86
Churn Risk,Large Malls / Complexes,Senior Salesperson,Spring Refresh Event,377312.09,141,2675.97,505.17,4935.75
Churn Risk,Large Malls / Complexes,Senior Salesperson,Spring Splash Discounts,401490.67,145,2768.90,541.82,4981.11
Churn Risk,Large Malls / Complexes,Senior Salesperson,Summer Sizzle Promo,418382.71,152,2752.52,511.51,4955.59
Churn Risk,Large Malls / Complexes,Senior Salesperson,Super Savings Week,408787.39,144,2838.80,510.52,4987.77
Churn Risk,Large Malls / Complexes,Senior Salesperson,Ultimate Value Event,364114.12,143,2546.25,502.89,4980.35
Churn Risk,Large Malls / Complexes,Senior Salesperson,VIP Access Sale,323998.94,120,2699.99,510.68,4918.11
Churn Risk,Large Malls / Complexes,Senior Salesperson,Weekend Warrior Specials,421198.40,149,2826.83,527.62,4984.14
Churn Risk,Large Malls / Complexes,Senior Salesperson,Winter Clearance Carnival,385521.84,144,2677.23,507.62,4911.51
Churn Risk,Large Malls / Complexes,Senior Salesperson,Winter Wonders Sale,395816.77,146,2711.07,555.47,4995.39
Churn Risk,Small Stores / Shops,Manager,12 Days of Deals,383124.42,140,2736.60,502.31,4980.90
Churn Risk,Small Stores / Shops,Manager,Autumn Deals Drive,455299.79,170,2678.23,560.91,4998.38
Churn Risk,Small Stores / Shops,Manager,BOGO Blitz,485972.19,172,2825.42,567.09,4991.38
Churn Risk,Small Stores / Shops,Manager,Back to School Boost,465881.08,171,2724.45,503.12,4995.60
Churn Risk,Small Stores / Shops,Manager,Birthday Bash Sale,522593.66,180,2903.30,507.97,4983.87
Churn Risk,Small Stores / Shops,Manager,Black Friday Blowout,485456.10,179,2712.05,503.75,4981.67
Churn Risk,Small Stores / Shops,Manager,Cart Crasher Campaign,483874.77,167,2897.45,508.04,4998.46
Churn Risk,Small Stores / Shops,Manager,Cashback Carnival,425307.35,144,2953.52,524.39,4994.16
Churn Risk,Small Stores / Shops,Manager,Clearance Countdown,432339.94,162,2668.77,544.94,4958.20
Churn Risk,Small Stores / Shops,Manager,Countdown to Savings,515127.11,181,2846.01,502.49,4990.06
Churn Risk,Small Stores / Shops,Manager,Customer Appreciation Week,398112.00,148,2689.95,512.13,4988.73
Churn Risk,Small Stores / Shops,Manager,Cyber Monday Mania,556924.56,198,2812.75,521.44,4990.19
Churn Risk,Small Stores / Shops,Manager,Deal of the Month,444698.11,168,2647.01,510.85,4915.61
Churn Risk,Small Stores / Shops,Manager,Double Points Bonanza,422632.20,146,2894.74,588.03,4955.16
Churn Risk,Small Stores / Shops,Manager,Early Bird Specials,493279.06,166,2971.56,550.01,4995.32
Churn Risk,Small Stores / Shops,Manager,End of Season Sale,528597.75,190,2782.09,510.38,4979.66
Churn Risk,Small Stores / Shops,Manager,Exclusive Insider Offers,443413.32,161,2754.12,528.95,4978.51
Churn Risk,Small Stores / Shops,Manager,Festive Fever Promo,433222.21,160,2707.64,502.30,4918.36
Churn Risk,Small Stores / Shops,Manager,Final Call Frenzy,407500.95,149,2734.91,511.25,4976.53
Churn Risk,Small Stores / Shops,Manager,Flash Frenzy Friday,472241.05,172,2745.59,522.32,4978.39
Churn Risk,Small Stores / Shops,Manager,"Gift More, Spend Less",412403.79,160,2577.52,550.57,4858.75
Churn Risk,Small Stores / Shops,Manager,Golden Hour Bargains,514794.18,182,2828.54,527.79,4992.88
Churn Risk,Small Stores / Shops,Manager,Green Weekend Deals,477498.18,159,3003.13,579.30,4996.07
Churn Risk,Small Stores / Shops,Manager,Happy Hour Discounts,461965.63,165,2799.79,540.32,4990.80
Churn Risk,Small Stores / Shops,Manager,Holiday Shopping Rush,470343.23,182,2584.30,510.81,4971.41
Churn Risk,Small Stores / Shops,Manager,Hot Picks Promo,535451.68,190,2818.17,515.19,4963.89
Churn Risk,Small Stores / Shops,Manager,Instant Gratification Sale,455383.55,169,2694.58,516.85,4998.35
Churn Risk,Small Stores / Shops,Manager,Limited Time Treasures,440665.39,157,2806.79,573.38,4965.57
Churn Risk,Small Stores / Shops,Manager,Loyalty Rewards Blast,549030.43,195,2815.54,509.96,4955.93
Churn Risk,Small Stores / Shops,Manager,Mega Weekend Bonanza,425464.08,173,2459.33,537.81,4963.35
Churn Risk,Small Stores / Shops,Manager,Mid-Year Madness,519347.52,189,2747.87,523.14,4995.57
Churn Risk,Small Stores / Shops,Manager,Midnight Madness,482083.42,186,2591.85,508.22,4938.47
Churn Risk,Small Stores / Shops,Manager,Mystery Discount Days,482934.01,184,2624.64,501.23,4993.56
Churn Risk,Small Stores / Shops,Manager,New Arrival Showcase,451885.09,162,2789.41,534.52,4978.56
Churn Risk,Small Stores / Shops,Manager,New Product Launch Promo,487243.31,177,2752.79,567.47,4988.32
Churn Risk,Small Stores / Shops,Manager,New Year Kickoff,465831.18,172,2708.32,611.19,4936.58
Churn Risk,Small Stores / Shops,Manager,Price Drop Parade,489608.16,184,2660.91,530.33,4997.34
Churn Risk,Small Stores / Shops,Manager,Red Tag Clearance,414701.73,162,2559.89,501.05,4952.58
Churn Risk,Small Stores / Shops,Manager,Seasonal Surprise Box,513272.13,176,2916.32,501.54,4996.49
Churn Risk,Small Stores / Shops,Manager,Shop & Save Spectacular,491361.44,182,2699.79,541.58,4981.99
Churn Risk,Small Stores / Shops,Manager,Smart Shopper Week,506212.74,178,2843.89,552.21,4975.74
Churn Risk,Small Stores / Shops,Manager,Spring Refresh Event,487495.45,167,2919.13,534.63,4980.06
Churn Risk,Small Stores / Shops,Manager,Spring Splash Discounts,467296.74,169,2765.07,542.45,4995.14
Churn Risk,Small Stores / Shops,Manager,Summer Sizzle Promo,447198.16,153,2922.86,657.69,4995.97
Churn Risk,Small Stores / Shops,Manager,Super Savings Week,430565.58,161,2674.32,500.70,4969.03
Churn Risk,Small Stores / Shops,Manager,Ultimate Value Event,508763.65,177,2874.37,530.29,4993.52
Churn Risk,Small Stores / Shops,Manager,VIP Access Sale,475212.95,166,2862.73,513.77,4999.15
Churn Risk,Small Stores / Shops,Manager,Weekend Warrior Specials,469667.53,176,2668.57,522.35,4999.21
Churn Risk,Small Stores / Shops,Manager,Winter Clearance Carnival,470907.25,165,2853.98,503.94,4989.85
Churn Risk,Small Stores / Shops,Manager,Winter Wonders Sale,447682.15,170,2633.42,556.37,4977.17
Churn Risk,Small Stores / Shops,Sales Associate,12 Days of Deals,497699.40,178,2796.06,504.11,4996.82
Churn Risk,Small Stores / Shops,Sales Associate,Autumn Deals Drive,492216.57,183,2689.71,539.28,4955.49
Churn Risk,Small Stores / Shops,Sales Associate,BOGO Blitz,500739.98,178,2813.15,508.02,4992.34
Churn Risk,Small Stores / Shops,Sales Associate,Back to School Boost,500239.58,182,2748.57,520.12,4987.32
Churn Risk,Small Stores / Shops,Sales Associate,Birthday Bash Sale,511396.78,184,2779.33,535.75,4979.35
Churn Risk,Small Stores / Shops,Sales Associate,Black Friday Blowout,484071.07,176,2750.40,531.80,4989.77
Churn Risk,Small Stores / Shops,Sales Associate,Cart Crasher Campaign,437345.18,168,2603.25,523.12,4959.67
Churn Risk,Small Stores / Shops,Sales Associate,Cashback Carnival,428328.17,159,2693.89,512.71,4970.23
Churn Risk,Small Stores / Shops,Sales Associate,Clearance Countdown,483481.40,159,3040.76,542.57,4996.24
Churn Risk,Small Stores / Shops,Sales Associate,Countdown to Savings,540638.08,193,2801.23,582.74,4981.78
Churn Risk,Small Stores / Shops,Sales Associate,Customer Appreciation Week,470294.00,170,2766.44,504.70,4994.34
Churn Risk,Small Stores / Shops,Sales Associate,Cyber Monday Mania,471574.42,162,2910.95,509.96,4987.56
Churn Risk,Small Stores / Shops,Sales Associate,Deal of the Month,506563.79,183,2768.11,528.23,4964.44
Churn Risk,Small Stores / Shops,Sales Associate,Double Points Bonanza,513544.54,191,2688.71,504.72,4969.78
Churn Risk,Small Stores / Shops,Sales Associate,Early Bird Specials,561434.47,191,2939.45,508.69,4956.62
Churn Risk,Small Stores / Shops,Sales Associate,End of Season Sale,504615.47,192,2628.21,520.91,4996.48
Churn Risk,Small Stores / Shops,Sales Associate,Exclusive Insider Offers,475626.66,180,2642.37,584.80,4995.02
Churn Risk,Small Stores / Shops,Sales Associate,Festive Fever Promo,419017.49,149,2812.20,510.16,4966.04
Churn Risk,Small Stores / Shops,Sales Associate,Final Call Frenzy,459691.81,166,2769.23,564.73,4957.17
Churn Risk,Small Stores / Shops,Sales Associate,Flash Frenzy Friday,491913.74,184,2673.44,510.43,4928.98
Churn Risk,Small Stores / Shops,Sales Associate,"Gift More, Spend Less",441176.79,159,2774.70,509.81,4983.21
Churn Risk,Small Stores / Shops,Sales Associate,Golden Hour Bargains,495651.69,172,2881.70,500.57,4934.70
Churn Risk,Small Stores / Shops,Sales Associate,Green Weekend Deals,542606.02,195,2782.59,517.77,4996.70
Churn Risk,Small Stores / Shops,Sales Associate,Happy Hour Discounts,458919.28,173,2652.71,505.53,4973.36
Churn Risk,Small Stores / Shops,Sales Associate,Holiday Shopping Rush,504522.77,185,2727.15,509.01,4937.42
Churn Risk,Small Stores / Shops,Sales Associate,Hot Picks Promo,485387.60,172,2822.02,518.58,4984.48
Churn Risk,Small Stores / Shops,Sales Associate,Instant Gratification Sale,488924.92,184,2657.20,546.73,4999.03
Churn Risk,Small Stores / Shops,Sales Associate,Limited Time Treasures,486752.81,184,2645.40,556.91,4965.73
Churn Risk,Small Stores / Shops,Sales Associate,Loyalty Rewards Blast,436665.95,166,2630.52,519.41,4940.38
Churn Risk,Small Stores / Shops,Sales Associate,Mega Weekend Bonanza,553127.06,198,2793.57,503.55,4992.14
Churn Risk,Small Stores / Shops,Sales Associate,Mid-Year Madness,494401.83,172,2874.43,524.32,4993.47
Churn Risk,Small Stores / Shops,Sales Associate,Midnight Madness,474828.56,176,2697.89,502.72,4990.79
Churn Risk,Small Stores / Shops,Sales Associate,Mystery Discount Days,493002.72,181,2723.77,528.84,4958.82
Churn Risk,Small Stores / Shops,Sales Associate,New Arrival Showcase,520365.37,193,2696.19,535.86,4999.20
Churn Risk,Small Stores / Shops,Sales Associate,New Product Launch Promo,483683.68,177,2732.68,515.78,4971.27
Churn Risk,Small Stores / Shops,Sales Associate,New Year Kickoff,461771.74,166,2781.76,604.90,4963.02
Churn Risk,Small Stores / Shops,Sales Associate,Price Drop Parade,492831.23,186,2649.63,523.53,4975.36
Churn Risk,Small Stores / Shops,Sales Associate,Red Tag Clearance,485819.04,171,2841.05,524.41,4982.81
Churn Risk,Small Stores / Shops,Sales Associate,Seasonal Surprise Box,481069.78,175,2748.97,513.03,4981.41
Churn Risk,Small Stores / Shops,Sales Associate,Shop & Save Spectacular,513327.58,183,2805.07,500.21,4998.65
Churn Risk,Small Stores / Shops,Sales Associate,Smart Shopper Week,492866.23,179,2753.44,511.95,4995.40
Churn Risk,Small Stores / Shops,Sales Associate,Spring Refresh Event,472591.80,167,2829.89,567.45,4971.67
Churn Risk,Small Stores / Shops,Sales Associate,Spring Splash Discounts,560410.65,203,2760.64,505.92,4943.31
Churn Risk,Small Stores / Shops,Sales Associate,Summer Sizzle Promo,475555.31,173,2748.87,500.57,4861.01
Churn Risk,Small Stores / Shops,Sales Associate,Super Savings Week,516131.93,190,2716.48,513.54,4898.22
Churn Risk,Small Stores / Shops,Sales Associate,Ultimate Value Event,439731.83,160,2748.32,568.80,4826.76
Churn Risk,Small Stores / Shops,Sales Associate,VIP Access Sale,498376.77,181,2753.46,534.77,4898.70
Churn Risk,Small Stores / Shops,Sales Associate,Weekend Warrior Specials,463241.62,175,2647.09,503.77,4972.05
Churn Risk,Small Stores / Shops,Sales Associate,Winter Clearance Carnival,453669.16,178,2548.70,501.40,4900.47
Churn Risk,Small Stores / Shops,Sales Associate,Winter Wonders Sale,491299.57,180,2729.44,515.88,4987.55
Churn Risk,Small Stores / Shops,Salesperson,12 Days of Deals,457670.26,165,2773.76,518.52,4930.49
Churn Risk,Small Stores / Shops,Salesperson,Autumn Deals Drive,528021.59,185,2854.17,500.20,4996.15
Churn Risk,Small Stores / Shops,Salesperson,BOGO Blitz,517704.38,181,2860.25,535.40,4999.45
Churn Risk,Small Stores / Shops,Salesperson,Back to School Boost,427821.31,166,2577.24,535.47,4887.78
Churn Risk,Small Stores / Shops,Salesperson,Birthday Bash Sale,436953.21,158,2765.53,509.75,4997.78
Churn Risk,Small Stores / Shops,Salesperson,Black Friday Blowout,447385.31,167,2678.95,516.25,4928.88
Churn Risk,Small Stores / Shops,Salesperson,Cart Crasher Campaign,442744.28,172,2574.09,525.60,4970.41
Churn Risk,Small Stores / Shops,Salesperson,Cashback Carnival,432401.57,165,2620.62,502.35,4944.27
Churn Risk,Small Stores / Shops,Salesperson,Clearance Countdown,493847.20,181,2728.44,509.31,4978.40
Churn Risk,Small Stores / Shops,Salesperson,Countdown to Savings,472986.16,174,2718.31,520.50,4935.12
Churn Risk,Small Stores / Shops,Salesperson,Customer Appreciation Week,518651.96,182,2849.74,502.07,4988.06
Churn Risk,Small Stores / Shops,Salesperson,Cyber Monday Mania,467018.19,162,2882.83,505.17,4960.71
Churn Risk,Small Stores / Shops,Salesperson,Deal of the Month,437922.80,159,2754.23,551.80,4922.70
Churn Risk,Small Stores / Shops,Salesperson,Double Points Bonanza,460892.10,166,2776.46,515.08,4972.64
Churn Risk,Small Stores / Shops,Salesperson,Early Bird Specials,507611.17,190,2671.64,519.29,4997.07
Churn Risk,Small Stores / Shops,Salesperson,End of Season Sale,407136.01,156,2609.85,525.10,4996.88
Churn Risk,Small Stores / Shops,Salesperson,Exclusive Insider Offers,494126.98,177,2791.68,566.47,4982.41
Churn Risk,Small Stores / Shops,Salesperson,Festive Fever Promo,574985.32,203,2832.44,514.87,4995.75
Churn Risk,Small Stores / Shops,Salesperson,Final Call Frenzy,468826.89,173,2709.98,501.06,4982.75
Churn Risk,Small Stores / Shops,Salesperson,Flash Frenzy Friday,493941.99,191,2586.08,508.81,4983.73
Churn Risk,Small Stores / Shops,Salesperson,"Gift More, Spend Less",523088.55,205,2551.65,506.35,4983.76
Churn Risk,Small Stores / Shops,Salesperson,Golden Hour Bargains,407493.07,159,2562.85,508.13,4983.74
Churn Risk,Small Stores / Shops,Salesperson,Green Weekend Deals,469602.48,177,2653.12,516.86,4971.75
Churn Risk,Small Stores / Shops,Salesperson,Happy Hour Discounts,509261.45,177,2877.18,549.22,4984.58
Churn Risk,Small Stores / Shops,Salesperson,Holiday Shopping Rush,496267.73,174,2852.11,521.30,4997.57
Churn Risk,Small Stores / Shops,Salesperson,Hot Picks Promo,439447.73,164,2679.56,503.06,4970.31
Churn Risk,Small Stores / Shops,Salesperson,Instant Gratification Sale,563039.79,197,2858.07,519.16,4961.77
Churn Risk,Small Stores / Shops,Salesperson,Limited Time Treasures,478481.77,179,2673.08,501.60,4994.16
Churn Risk,Small Stores / Shops,Salesperson,Loyalty Rewards Blast,463207.59,170,2724.75,501.61,4975.53
Churn Risk,Small Stores / Shops,Salesperson,Mega Weekend Bonanza,495715.31,174,2848.94,502.77,4971.05
Churn Risk,Small Stores / Shops,Salesperson,Mid-Year Madness,449765.24,163,2759.30,500.47,4997.94
Churn Risk,Small Stores / Shops,Salesperson,Midnight Madness,492863.67,173,2848.92,504.23,4958.94
Churn Risk,Small Stores / Shops,Salesperson,Mystery Discount Days,477889.31,169,2827.75,529.69,4985.40
Churn Risk,Small Stores / Shops,Salesperson,New Arrival Showcase,480840.99,167,2879.29,525.62,4992.69
Churn Risk,Small Stores / Shops,Salesperson,New Product Launch Promo,467463.01,167,2799.18,536.56,4986.22
Churn Risk,Small Stores / Shops,Salesperson,New Year Kickoff,513627.60,187,2746.67,567.46,4959.02
Churn Risk,Small Stores / Shops,Salesperson,Price Drop Parade,520890.36,189,2756.03,515.13,4996.09
Churn Risk,Small Stores / Shops,Salesperson,Red Tag Clearance,508957.89,180,2827.54,536.16,4958.85
