customer_segment,campaign_name,sum_amount,count,avg_amount,min_amount,max_amount
Loyal Customer,Summer Sizzle Promo,5845355.17,2093,2792.81,501.65,4998.66
Loyal Customer,Super Savings Week,5533225.90,2002,2763.85,510.14,4998.75
Loyal Customer,Ultimate Value Event,5395011.68,1955,2759.60,501.61,4999.80
Loyal Customer,VIP Access Sale,5535871.68,1991,2780.45,507.72,4999.97
Loyal Customer,Weekend Warrior Specials,5590468.60,2024,2762.09,501.07,4999.43
Loyal Customer,Winter Clearance Carnival,5499892.20,1990,2763.76,503.87,4996.11
Loyal Customer,Winter Wonders Sale,5433994.28,2021,2688.77,500.27,4998.39
Occasional Shopper,12 Days of Deals,5354679.67,1963,2727.80,505.19,4994.45
Occasional Shopper,Autumn Deals Drive,5639670.14,2065,2731.08,500.33,4999.80
Occasional Shopper,BOGO Blitz,5545459.75,2017,2749.36,508.21,4999.06
Occasional Shopper,Back to School Boost,5386383.04,1981,2719.02,500.09,4996.41
Occasional Shopper,Birthday Bash Sale,5463731.27,1994,2740.09,501.84,4994.15
Occasional Shopper,Black Friday Blowout,5543464.56,2044,2712.07,502.74,4999.65
Occasional Shopper,Cart Crasher Campaign,5708367.98,2080,2744.41,501.43,4998.24
Occasional Shopper,Cashback Carnival,5537065.52,2045,2707.61,500.39,4996.35
Occasional Shopper,Clearance Countdown,5436662.36,1988,2734.74,501.38,4992.48
Occasional Shopper,Countdown to Savings,5512683.79,2017,2733.11,500.91,4998.03
Occasional Shopper,Customer Appreciation Week,5703960.99,2049,2783.78,507.61,4997.51
Occasional Shopper,Cyber Monday Mania,5518958.74,1983,2783.14,502.61,4999.05
Occasional Shopper,Deal of the Month,5500123.51,2004,2744.57,502.57,4997.93
Occasional Shopper,Double Points Bonanza,5446793.94,1974,2759.27,500.57,4999.60
Occasional Shopper,Early Bird Specials,5509433.50,2017,2731.50,500.89,4999.19
Occasional Shopper,End of Season Sale,5461331.70,1976,2763.83,501.39,4998.09
Occasional Shopper,Exclusive Insider Offers,5527384.83,2009,2751.31,501.94,4998.46
Occasional Shopper,Festive Fever Promo,5500601.42,2017,2727.12,500.15,4996.22
Occasional Shopper,Final Call Frenzy,5378414.53,1970,2730.16,501.74,4996.83
Occasional Shopper,Flash Frenzy Friday,5571860.20,2011,2770.69,504.62,4997.67
Occasional Shopper,"Gift More, Spend Less",5530045.55,2018,2740.36,501.75,4996.60
Occasional Shopper,Golden Hour Bargains,5676553.16,2069,2743.62,500.65,4999.31
Occasional Shopper,Green Weekend Deals,5564343.04,2033,2737.01,502.15,4997.45
Occasional Shopper,Happy Hour Discounts,5326825.11,1969,2705.35,501.14,4995.35
Occasional Shopper,Holiday Shopping Rush,5429500.13,1999,2716.11,500.26,4999.06
Occasional Shopper,Hot Picks Promo,5254527.11,1941,2707.12,502.01,4997.23
Occasional Shopper,Instant Gratification Sale,5598100.09,2054,2725.46,500.41,4998.19
Occasional Shopper,Limited Time Treasures,5689076.24,2071,2747.02,503.29,4997.90
Occasional Shopper,Loyalty Rewards Blast,5525852.15,1979,2792.24,501.42,4989.94
Occasional Shopper,Mega Weekend Bonanza,5506030.59,1997,2757.15,503.69,4997.14
Occasional Shopper,Mid-Year Madness,5666268.19,2071,2736.01,502.00,4996.93
Occasional Shopper,Midnight Madness,5384289.56,1933,2785.46,501.59,4998.42
Occasional Shopper,Mystery Discount Days,5327968.37,1950,2732.29,506.37,4998.21
Occasional Shopper,New Arrival Showcase,5681127.69,2085,2724.76,500.44,4997.96
Occasional Shopper,New Product Launch Promo,5634373.48,2044,2756.54,500.98,4998.84
Occasional Shopper,New Year Kickoff,5759404.73,2040,2823.24,503.74,4999.63
Occasional Shopper,Price Drop Parade,5600543.68,2022,2769.80,500.07,4993.49
Occasional Shopper,Red Tag Clearance,5545793.78,1966,2820.85,501.79,4997.50
Occasional Shopper,Seasonal Surprise Box,5646970.04,2036,2773.56,500.56,4997.26
Occasional Shopper,Shop & Save Spectacular,5744994.61,2033,2825.87,502.52,4995.89
Occasional Shopper,Smart Shopper Week,5732181.50,2073,2765.16,501.31,4990.50
Occasional Shopper,Spring Refresh Event,5497968.61,1986,2768.36,500.36,4995.05
Occasional Shopper,Spring Splash Discounts,5503424.70,2022,2721.77,502.30,4999.44
Occasional Shopper,Summer Sizzle Promo,5405390.64,1977,2734.14,502.59,4998.50
Occasional Shopper,Super Savings Week,5455290.91,1995,2734.48,500.28,4998.86
Occasional Shopper,Ultimate Value Event,5347441.10,1950,2742.28,502.13,4997.53
Occasional Shopper,VIP Access Sale,5701339.26,2051,2779.79,500.66,4999.48
Occasional Shopper,Weekend Warrior Specials,5437631.05,2000,2718.82,501.32,4997.81
Occasional Shopper,Winter Clearance Carnival,5421351.81,1964,2760.36,501.06,4994.03
Occasional Shopper,Winter Wonders Sale,5599264.23,2026,2763.70,504.46,4996.00
Online Shopper,12 Days of Deals,5629744.41,2041,2758.33,508.70,4998.57
Online Shopper,Autumn Deals Drive,5592353.10,2042,2738.66,502.62,4995.68
Online Shopper,BOGO Blitz,5588346.04,2033,2748.82,505.47,4996.52
Online Shopper,Back to School Boost,5542432.52,2010,2757.43,502.98,4999.06
Online Shopper,Birthday Bash Sale,5255338.52,1907,2755.81,501.02,4996.64
Online Shopper,Black Friday Blowout,5674043.64,2054,2762.44,500.23,4999.88
Online Shopper,Cart Crasher Campaign,5631390.98,2047,2751.05,502.78,4999.82
Online Shopper,Cashback Carnival,5524404.62,1996,2767.74,505.40,4999.62
Online Shopper,Clearance Countdown,5616916.78,2039,2754.74,501.02,4996.82
Online Shopper,Countdown to Savings,5709842.83,2079,2746.44,500.65,4997.06
Online Shopper,Customer Appreciation Week,5530227.26,2021,2736.38,502.24,4997.84
Online Shopper,Cyber Monday Mania,5554542.38,2024,2744.34,504.38,4998.53
Online Shopper,Deal of the Month,5447339.47,2011,2708.77,503.34,4999.45
Online Shopper,Double Points Bonanza,5576433.34,2017,2764.72,506.58,4999.14
Online Shopper,Early Bird Specials,5777458.11,2135,2706.07,501.24,4996.66
Online Shopper,End of Season Sale,5452908.53,1986,2745.67,505.76,4998.80
Online Shopper,Exclusive Insider Offers,5329538.58,1937,2751.44,500.29,4999.97
Online Shopper,Festive Fever Promo,5337901.46,1957,2727.59,501.00,4997.00
Online Shopper,Final Call Frenzy,5606187.61,1997,2807.30,503.34,4992.32
Online Shopper,Flash Frenzy Friday,5744425.66,2072,2772.41,505.20,4999.95
Online Shopper,"Gift More, Spend Less",5685678.01,2087,2724.33,501.32,4994.85
Online Shopper,Golden Hour Bargains,5367768.24,1957,2742.86,507.56,4997.61
Online Shopper,Green Weekend Deals,5414465.88,1951,2775.23,500.74,4991.70
Online Shopper,Happy Hour Discounts,5493600.84,1990,2760.60,503.61,4999.78
Online Shopper,Holiday Shopping Rush,5381064.90,1959,2746.84,503.23,4998.79
Online Shopper,Hot Picks Promo,5584532.70,2024,2759.16,500.12,4999.60
Online Shopper,Instant Gratification Sale,5525284.01,1990,2776.52,500.89,4996.98
Online Shopper,Limited Time Treasures,5549508.28,2032,2731.06,500.34,4998.98
Online Shopper,Loyalty Rewards Blast,5617310.06,2057,2730.83,501.89,4996.69
Online Shopper,Mega Weekend Bonanza,5448253.87,1985,2744.71,500.15,4992.81
Online Shopper,Mid-Year Madness,5445969.69,1989,2738.04,503.67,4997.34
Online Shopper,Midnight Madness,5341753.58,1972,2708.80,500.23,4998.12
Online Shopper,Mystery Discount Days,5591107.23,1999,2796.95,500.04,4998.62
Online Shopper,New Arrival Showcase,5878630.29,2101,2798.02,502.57,4997.59
Online Shopper,New Product Launch Promo,5520279.57,1995,2767.06,501.50,4996.38
Online Shopper,New Year Kickoff,5652630.01,2053,2753.35,500.12,4999.87
Online Shopper,Price Drop Parade,5405236.65,1964,2752.16,504.82,4999.83
Online Shopper,Red Tag Clearance,5555179.18,2019,2751.45,501.14,4993.35
Online Shopper,Seasonal Surprise Box,5608034.48,2080,2696.17,500.11,4998.13
Online Shopper,Shop & Save Spectacular,5568914.29,2010,2770.60,500.09,4997.78
Online Shopper,Smart Shopper Week,5554397.73,2040,2722.74,502.89,4999.94
Online Shopper,Spring Refresh Event,5628130.48,2017,2790.35,500.43,4999.83
Online Shopper,Spring Splash Discounts,5659437.11,2024,2796.16,500.35,4998.77
Online Shopper,Summer Sizzle Promo,5700729.89,2061,2766.00,501.06,4999.26
Online Shopper,Super Savings Week,5579078.98,1992,2800.74,500.36,4998.97
Online Shopper,Ultimate Value Event,5669581.49,2066,2744.23,509.98,4998.93
Online Shopper,VIP Access Sale,5562084.88,2016,2758.97,501.55,4996.84
Online Shopper,Weekend Warrior Specials,5544006.51,2009,2759.59,500.62,4998.52
Online Shopper,Winter Clearance Carnival,5477289.50,1961,2793.11,502.18,4998.41
Online Shopper,Winter Wonders Sale,5522103.93,2014,2741.86,502.39,4996.43
Premium Shopper,12 Days of Deals,5348228.17,1932,2768.23,502.43,4999.67
Premium Shopper,Autumn Deals Drive,5556191.52,2013,2760.15,502.75,4999.01
Premium Shopper,BOGO Blitz,5484859.54,1979,2771.53,500.98,4993.50
Premium Shopper,Back to School Boost,5485181.37,1984,2764.71,501.66,4997.92
Premium Shopper,Birthday Bash Sale,5412316.17,1953,2771.28,503.22,4997.22
Premium Shopper,Black Friday Blowout,5435604.66,1963,2769.03,500.60,4999.87
Premium Shopper,Cart Crasher Campaign,5386596.62,1932,2788.09,500.78,4998.49
Premium Shopper,Cashback Carnival,5492171.53,1995,2752.97,500.51,4999.14
Premium Shopper,Clearance Countdown,5471840.69,1981,2762.16,501.13,4995.80
Premium Shopper,Countdown to Savings,5436889.56,1975,2752.86,500.23,4996.95
Premium Shopper,Customer Appreciation Week,5505672.98,1970,2794.76,501.25,4998.61
Premium Shopper,Cyber Monday Mania,5233610.49,1939,2699.13,504.42,4994.23
Premium Shopper,Deal of the Month,5460506.91,2005,2723.44,501.60,4992.09
Premium Shopper,Double Points Bonanza,5626599.70,1999,2814.71,505.59,4999.44
Premium Shopper,Early Bird Specials,5307966.32,1931,2748.82,502.49,4996.11
Premium Shopper,End of Season Sale,5350844.24,1975,2709.29,500.31,4998.76
Premium Shopper,Exclusive Insider Offers,5470561.97,1991,2747.65,500.07,4999.35
Premium Shopper,Festive Fever Promo,5407911.82,1984,2725.76,502.37,4998.21
Premium Shopper,Final Call Frenzy,5525743.15,2011,2747.76,500.30,4998.23
Premium Shopper,Flash Frenzy Friday,5436315.35,1994,2726.34,500.97,4995.63
Premium Shopper,"Gift More, Spend Less",5262093.35,1918,2743.53,508.46,4998.06
Premium Shopper,Golden Hour Bargains,5643109.18,2040,2766.23,504.10,4998.56
Premium Shopper,Green Weekend Deals,5450144.86,1999,2726.44,503.00,4999.76
Premium Shopper,Happy Hour Discounts,5618490.24,2024,2775.93,501.43,4998.94
Premium Shopper,Holiday Shopping Rush,5446619.66,1974,2759.18,501.56,4998.79
Premium Shopper,Hot Picks Promo,5370211.42,1956,2745.51,500.73,4998.48
Premium Shopper,Instant Gratification Sale,5324256.10,1945,2737.41,504.24,4997.47
Premium Shopper,Limited Time Treasures,5550872.39,1986,2795.00,501.55,4995.92
Premium Shopper,Loyalty Rewards Blast,5134023.93,1883,2726.51,500.73,4996.42
Premium Shopper,Mega Weekend Bonanza,5415585.84,1966,2754.62,502.17,4996.99
Premium Shopper,Mid-Year Madness,5529919.64,2027,2728.13,500.34,4995.65
Premium Shopper,Midnight Madness,5374976.27,1961,2740.94,501.16,4997.76
Premium Shopper,Mystery Discount Days,5557802.02,2011,2763.70,502.26,4999.55
Premium Shopper,New Arrival Showcase,5392094.38,1941,2778.00,511.07,4999.86
Premium Shopper,New Product Launch Promo,5345002.27,1956,2732.62,500.59,4996.19
Premium Shopper,New Year Kickoff,5625687.67,2033,2767.19,502.26,4994.34
Premium Shopper,Price Drop Parade,5344930.55,1932,2766.53,508.98,4996.80
Premium Shopper,Red Tag Clearance,5408829.10,1985,2724.85,502.58,4996.34
Premium Shopper,Seasonal Surprise Box,5639370.80,2057,2741.55,500.31,4998.58
Premium Shopper,Shop & Save Spectacular,5389636.67,1955,2756.85,501.53,4993.27
Premium Shopper,Smart Shopper Week,5282830.31,1934,2731.56,505.62,4997.07
Premium Shopper,Spring Refresh Event,5484965.46,1973,2780.01,501.78,4997.79
Premium Shopper,Spring Splash Discounts,5381118.87,1965,2738.48,504.23,4998.92
Premium Shopper,Summer Sizzle Promo,5253255.64,1907,2754.72,500.81,4997.06
Premium Shopper,Super Savings Week,5508926.99,1988,2771.09,504.15,4996.76
Premium Shopper,Ultimate Value Event,5295831.25,1956,2707.48,500.17,4999.13
Premium Shopper,VIP Access Sale,5542467.34,2008,2760.19,500.23,4995.80
Premium Shopper,Weekend Warrior Specials,5268994.42,1916,2750.00,500.79,4995.02
Premium Shopper,Winter Clearance Carnival,5443330.12,2003,2717.59,502.95,4996.69
Premium Shopper,Winter Wonders Sale,5482783.85,2020,2714.25,500.29,4999.74
